Id;Unit;DrugDescription;Factory;Composition;NarcoticCategory;Category;Issued;ValidUntil
00570;1;Ribomunyl, Granulat;Pierre Fabre Pharma SA;Bakterien- und Hefepräparate;B;B;04.08.94;04.08.94;31.07.19
00583;21;Fluarix, Injektionssuspension;GlaxoSmithKline AG;Impfstoffe;B;B;22.02.95;25.08.15;30.06.17
00584;1;Octagam 5 %, Lösung zur intravenösen Anwendung;Octapharma AG;Blutprodukte;B;B;21.12.95;21.12.95;20.12.20
00585;1;Varilrix, Pulver und Lösungsmittel zur Herstellung einer Injektionslösung;GlaxoSmithKline AG;Impfstoffe;B;B;19.12.95;19.12.98;18.12.20
00587;1;Ribomunyl, Tabletten;Pierre Fabre Pharma SA;Bakterien- und Hefepräparate;B;B;04.08.94;04.08.94;31.07.19
00592;1;Twinrix 720/20, Injektionssuspension;GlaxoSmithKline AG;Impfstoffe;B;B;12.12.96;12.12.96;10.12.16
00596;1;Broncho-Vaxom adultes, capsules;OM Pharma SA;Bakterien- und Hefepräparate;C;C;03.07.97;03.07.97;03.07.17
00597;1;Broncho-Vaxom enfants, capsules;OM Pharma SA;Bakterien- und Hefepräparate;C;C;03.07.97;03.07.97;03.07.17
00598;1;Uro-Vaxom, capsules;OM Pharma SA;Bakterien- und Hefepräparate;B;B;19.03.98;19.03.98;04.02.20
00599;1;Havrix 720, Injektionssuspension;GlaxoSmithKline AG;Impfstoffe;B;B;30.09.96;30.09.96;22.09.16
00602;1;octaplasLG, Lösung zur Infusion;Octapharma AG;Blutprodukte;B;B;20.04.99;20.04.99;18.04.19
00603;1;Hiberix, Stechampulle mit Lyophilisat und Solvens;GlaxoSmithKline AG;Impfstoffe;B;B;15.09.97;15.09.97;15.09.17
00612;1;Tetravac, Injektionssuspension;Sanofi Pasteur MSD AG;Impfstoffe;B;B;18.08.99;18.08.99;17.08.19
00613;1;Pentavac, Suspension zur Injektion und Lyophilisat;Sanofi Pasteur MSD AG;Impfstoffe;B;B;18.08.99;18.08.99;17.08.19
00615;1;Priorix, Pulver und Lösungsmittel zur Herstellung einer Injektionslösung;GlaxoSmithKline AG;Impfstoffe;B;B;22.12.98;22.12.98;21.12.18
00619;1;Infanrix DTPa-IPV+Hib, Injektionssuspension;GlaxoSmithKline AG;Impfstoffe;B;B;29.09.98;29.09.98;28.09.18
00627;1;Encepur N, Injektionssuspension;Novartis Pharma Schweiz AG;Impfstoffe;B;B;08.11.99;12.04.07;31.03.17
00628;1;Encepur N Kinder, Injektionssuspension;Novartis Pharma Schweiz AG;Impfstoffe;B;B;20.04.98;21.11.07;24.01.17
00635;1;Luivac, Tabletten;Daiichi Sankyo (Schweiz) AG;Bakterien- und Hefepräparate;B;B;14.08.00;14.08.00;14.08.20
00637;1;Boostrix, Injektionssuspension;GlaxoSmithKline AG;Impfstoffe;B;B;10.08.00;10.08.00;09.08.20
00638;1;Infanrix DTPa-IPV, Injektionssuspension;GlaxoSmithKline AG;Impfstoffe;B;B;20.08.99;20.08.99;19.08.19
00640;1;Infanrix hexa, Injektionssuspension;GlaxoSmithKline AG;Impfstoffe;B;B;02.10.00;02.10.00;01.10.20
00641;1;Tuberkulin PPD RT 23 SSI,  2TE/0.1 ml, Injektionslösung;Pro Farma AG;Impfstoffe;B;B;03.07.00;03.07.00;30.06.20
00641;2;Tuberkulin PPD RT 23 SSI, 10TE/0.1 ml, Injektionslösung;Pro Farma AG;Impfstoffe;B;B;03.07.00;03.07.00;30.06.20
00646;1;Revaxis, Injektionssuspension;Sanofi Pasteur MSD AG;Impfstoffe;B;B;10.08.00;10.08.00;09.08.20
00652;1;Mencevax ACWY, Trockensubstanz und Lösungsmittel;GlaxoSmithKline AG;Impfstoffe;B;B;19.11.01;19.11.01;16.11.16
00656;1;NeisVac-C, Injektionssuspension;Pfizer AG;Impfstoffe;B;B;04.06.02;04.06.02;09.06.17
00657;1;Menjugate, Trockensubstanz mit Solvens;Novartis Pharma Schweiz AG;Impfstoffe;B;B;02.09.02;24.08.07;01.09.17
00663;1;HBVAXPRO 10, Injektionssuspension;Sanofi Pasteur MSD AG;Impfstoffe;B;B;20.08.02;20.08.02;13.08.17
00665;1;Beriplex P/N 500, Pulver und Lösung zur Herstellung einer Injektionslösung;CSL Behring AG;Blutprodukte;B;B;05.07.04;05.07.04;01.08.21
00665;2;Beriplex P/N 1000, Pulver und Lösung zur Herstellung einer Injektionslösung;CSL Behring AG;Blutprodukte;B;B;05.07.04;13.02.14;01.08.21
00666;1;Octanate 250 IE, Trockensubstanz;Octapharma AG;Blutprodukte;B;B;02.09.03;02.09.03;01.09.18
00666;2;Octanate 500 IE, Trockensubstanz;Octapharma AG;Blutprodukte;B;B;02.09.03;02.09.03;01.09.18
00666;3;Octanate 1'000 IE, Trockensubstanz;Octapharma AG;Blutprodukte;B;B;02.09.03;02.09.03;01.09.18
00667;1;Broncho-Vaxom enfants, sachets;OM Pharma SA;Bakterien- und Hefepräparate;C;C;10.04.03;10.04.03;08.04.18
00668;1;Gamunex 10%, solution pour injection intraveineuse;Vifor SA;Blutprodukte;B;B;26.10.05;26.10.05;25.10.20
00669;1;Poliorix, Injektionslösung;GlaxoSmithKline AG;Impfstoffe;B;B;28.07.03;28.07.03;29.07.18
00670;1;TachoSil, Schwamm;Takeda Pharma AG;Blutprodukte;B;B;27.09.04;27.09.04;24.09.19
00671;3;Fibrogammin 250 E., Lyophilisat zur intravenösen Anwendung;CSL Behring AG;Blutprodukte;B;B;13.10.03;15.02.07;12.10.18
00671;4;Fibrogammin 1'250 E., Lyophilisat zur intravenösen Anwendung;CSL Behring AG;Blutprodukte;B;B;13.10.03;15.02.07;12.10.18
00673;2;Tetagam P, Injektionslösung;CSL Behring AG;Blutprodukte;B;B;24.08.04;10.10.07;23.08.19
00674;1;Hepatitis-B-Immunglobulin Behring, Injektionslösung;CSL Behring AG;Blutprodukte;B;B;01.03.04;01.03.04;28.02.19
00675;1;Pro-Symbioflor, Suspension;Biomed AG;Bakterien- und Hefepräparate;C;C;04.10.05;04.10.05;03.10.20
00676;1;Symbioflor 1, Suspension;Biomed AG;Bakterien- und Hefepräparate;C;C;04.10.05;04.10.05;03.10.20
00677;1;Symbioflor 2, Suspension;Biomed AG;Bakterien- und Hefepräparate;C;C;04.10.05;04.10.05;03.10.20
00680;1;Buccalin, compresse;Desma Healthcare SpA, Torino succursale di Chiasso;Bakterien- und Hefepräparate;B;B;15.10.71;15.10.71;27.05.18
00681;1;Boostrix Polio, Injektionssuspension;GlaxoSmithKline AG;Impfstoffe;B;B;01.04.04;01.04.04;31.03.19
00683;1;FSME-Immun 0.25 ml Junior, Suspension zur intramuskulären Injektion;Pfizer AG;Impfstoffe;B;B;10.10.03;10.10.03;09.10.18
00684;1;Mutaflor, capsules;Vifor SA;Bakterien- und Hefepräparate;B;B;17.02.05;17.02.05;16.02.20
00684;2;Mutaflor mite, capsules;Vifor SA;Bakterien- und Hefepräparate;B;B;17.02.05;17.02.05;16.02.20
00685;1;Rabipur, Injektionslösung;Novartis Pharma Schweiz AG;Impfstoffe;B;B;14.09.04;14.09.04;12.05.18
00687;1;Berirab 2 ml, Injektionslösung;CSL Behring AG;Blutprodukte;B;B;05.05.04;05.05.04;04.05.19
00687;2;Berirab 5 ml, Injektionslösung;CSL Behring AG;Blutprodukte;B;B;05.05.04;05.05.04;04.05.19
00688;1;Varivax, Injektionssuspension;Sanofi Pasteur MSD AG;Impfstoffe;B;B;18.02.05;18.02.05;17.02.20
00691;1;Lupidon H, Injektionssuspension;Almirall AG;Impfstoffe;B;B;09.02.07;09.02.07;08.02.17
00692;1;Lupidon G, Injektionssuspension;Almirall AG;Impfstoffe;B;B;09.02.07;09.02.07;08.02.17
00696;1;BCG Vaccine SSI, Trockensubstanz mit Solvens;Pro Farma AG;Impfstoffe;B;B;05.07.06;05.07.06;04.07.16
00697;1;Prolastin, Lyophilisat pour solution pour perfusion;Vifor SA;Blutprodukte;B;B;19.01.06;19.01.06;18.01.21
00699;1;ProQuad, Injektionssuspension;Sanofi Pasteur MSD AG;Impfstoffe;B;B;08.11.10;08.11.10;07.11.20
00701;2;Gammanorm, Injektionslösung;Octapharma AG;Blutprodukte;B;B;05.10.05;15.11.12;04.10.20
00702;1;Td-pur, Injektionssuspension;Novartis Pharma Schweiz AG;Impfstoffe;B;B;10.11.05;10.11.05;09.11.20
00703;1;M-M-RVAXPRO, Lyophilisat und Lösungsmittel;Sanofi Pasteur MSD AG;Impfstoffe;B;B;13.02.07;13.02.07;12.02.17
00704;2;Dukoral, Suspension zum Einnehmen;Pro Farma AG;Impfstoffe;B;B;29.03.06;03.05.12;28.03.21
00705;1;Flexbumin 200 g/l, Infusionslösung;Baxalta Schweiz AG;Blutprodukte;B;B;05.03.07;05.03.07;04.03.17
00707;1;Tetanol pur, Injektionssuspension;Novartis Pharma Schweiz AG;Impfstoffe;B;B;06.03.06;06.03.06;05.03.21
00709;1;Zostavax, Injektionssuspension;Sanofi Pasteur MSD AG;Impfstoffe;B;B;22.02.07;22.07.07;21.02.17
00711;1;Diphtherie- und Tetanus-Adsorbatimpfstoff für Kinder, Injektionssuspension;Pro Farma AG;Impfstoffe;B;B;19.05.06;19.05.06;18.05.21
08537;1;Aspirin, Tabletten;Bayer (Schweiz) AG;Synthetika human;D;D;30.06.36;30.06.36;09.05.17
08571;1;Rennie Peppermint, Lutschtabletten;Bayer (Schweiz) AG;Synthetika human;D;D;08.06.36;08.06.36;19.09.17
08579;2;Künzle Herz- und Kreislauftee, geschnittene Drogen;Kräuterpfarrer Künzle AG;Phytotherapeutika;D;D;30.04.36;27.04.94;06.11.20
08599;1;Olbas Inhaler, Inhalierstift;Hänseler AG;Phytotherapeutika;D;D;06.09.30;06.09.30;06.09.20
08653;1;Hametum, Salbe;Schwabe Pharma AG;Phytotherapeutika;D;D;30.03.37;30.03.37;02.12.19
08671;1;Alka-Seltzer, Brausetabletten;Bayer (Schweiz) AG;Synthetika human;D;D;29.08.36;29.08.36;04.07.17
08909;1;Luvos Heilerde Ultra zum Einnehmen, Pulver;Dr. Dünner AG;Phytotherapeutika;D;D;15.12.37;15.12.37;10.11.19
08910;1;Luvos Heilerde 1 zum Einnehmen, Pulver;Dr. Dünner AG;Phytotherapeutika;D;D;15.12.37;15.12.37;10.11.19
08911;1;Luvos Heilerde 2 äusserlich, Pulver für Umschläge;Dr. Dünner AG;Phytotherapeutika;D;D;15.12.37;15.12.37;21.12.19
08967;2;Congo, Salbe;Homöopharm AG;Synthetika human;D;D;28.02.37;05.03.09;13.11.18
08978;1;Neutroses, comprimés à croquer;F. UHLMANN-EYRAUD SA;Synthetika human;D;D;28.02.37;28.02.37;07.11.20
09092;1;Wonnensteiner Kraftessenz, Elixier;Kloster Wonnenstein;Synthetika human;D;D;19.04.37;19.04.37;23.11.16
09232;1;Weleda Schnupfencrème, anthroposophisches Arzneimittel;Weleda AG;Anthroposophika;D;D;21.09.37;21.09.37;01.11.16
09244;2;Oxydermin, Salbe;Dr. Wild & Co. AG;Synthetika human;D;D;23.02.32;05.05.95;26.11.18
09395;1;Vi-De 3, Tropflösung;Dr. Wild & Co. AG;Synthetika human;D;D;20.01.38;20.01.38;10.09.17
09439;1;Zeller Balsam, Salbe;Max Zeller Söhne AG;Synthetika human;D;D;18.03.38;18.03.38;10.09.17
09442;1;Zeller Feigen mit Senna, Sirup;Max Zeller Söhne AG;Phytotherapeutika;D;D;18.03.38;18.03.38;09.10.17
09534;1;Em-eukal, bonbons contre la toux;Vifor Consumer Health SA;Phytotherapeutika;E;E;23.11.31;23.11.31;28.10.17
09605;1;Künzle Nerven- und Schlaftee, geschnittene Drogen;Kräuterpfarrer Künzle AG;Phytotherapeutika;D;D;23.06.38;23.06.38;20.09.17
09634;1;Anliker Lehm äusserlich, Pulver;Dermapharm AG;Synthetika human;D;D;19.11.27;19.11.27;20.10.18
09666;2;Künzle Verdauungstee, geschnittene Drogen;Kräuterpfarrer Künzle AG;Phytotherapeutika;D;D;14.10.38;13.12.96;15.12.18
09672;1;Künzle harntreibender Tee, geschnittene Drogen;Kräuterpfarrer Künzle AG;Phytotherapeutika;D;D;14.10.38;14.10.38;15.12.18
09941;1;Kernosan Meerrettich-Elixir, Elixir;E. Kern AG, pharmazeutische Kräuterspezialitäten;Phytotherapeutika;D;D;28.11.33;28.11.33;30.10.18
10029;2;Zeller Herz und Nerven, Tropfen;Max Zeller Söhne AG;Phytotherapeutika;D;D;04.02.66;12.05.00;06.10.20
10074;1;Künzle Magentee, geschnittene Drogen;Kräuterpfarrer Künzle AG;Phytotherapeutika;D;D;26.06.34;26.06.34;15.12.18
10075;1;Lapidar 16, Tabletten;Kräuterpfarrer Künzle AG;Phytotherapeutika;D;D;15.03.33;15.03.33;11.11.19
10077;2;Künzle Hustentee, geschnittene Drogen;Kräuterpfarrer Künzle AG;Phytotherapeutika;D;D;26.06.34;29.08.97;11.11.19
10079;1;Künzle Rheumatee, geschnittene Drogen;Kräuterpfarrer Künzle AG;Phytotherapeutika;D;D;18.01.40;18.01.40;11.11.19
10080;1;Künzle Erkältungstee, geschnittene Drogen;Kräuterpfarrer Künzle AG;Phytotherapeutika;D;D;25.07.34;25.07.34;11.11.19
10167;1;Emser Salz;Sidroga AG;Synthetika human;D;D;31.08.34;31.08.34;21.12.19
10175;1;Reinigungstrank Natürlich ad us.vet., Pulver;Fritz Suhner;Tierarzneimittel;E;E;15.11.39;15.11.39;07.12.19
10223;1;Baume du Chalet, Salbe;Steinberg Pharma AG;Phytotherapeutika;D;D;22.09.34;22.09.34;02.12.19
10265;2;Künzle Leber-Gallentee, geschnittene Drogen;Kräuterpfarrer Künzle AG;Phytotherapeutika;D;D;29.04.40;13.12.96;11.11.19
10266;2;Lapidar 12, Tabletten;Kräuterpfarrer Künzle AG;Phytotherapeutika;D;D;29.04.40;29.04.40;19.02.21
10286;2;Darmol Abführtabletten;Iromedica AG;Phytotherapeutika;D;D;21.11.34;30.11.99;21.07.20
10368;1;Alcacyl, Tabletten;Hänseler AG;Synthetika human;D;D;30.05.35;30.05.35;19.05.19
10379;2;Lebewohl, Hühneraugenpflaster;Melisana AG;Synthetika human;D;D;30.06.35;12.09.13;06.10.20
10383;1;Lapidar 1, Tabletten;Kräuterpfarrer Künzle AG;Phytotherapeutika;D;D;31.08.35;31.08.35;19.02.21
10385;1;Lapidar 3, Tabletten;Kräuterpfarrer Künzle AG;Phytotherapeutika;D;D;31.08.35;31.08.35;29.01.21
10386;1;Lapidar 4, Filmtabletten;Kräuterpfarrer Künzle AG;Synthetika human;D;D;31.08.35;31.08.35;20.12.20
10387;1;Lapidar 5, Tabletten;Kräuterpfarrer Künzle AG;Phytotherapeutika;D;D;31.08.35;31.08.35;23.02.21
10388;1;Lapidar 6, Tabletten;Kräuterpfarrer Künzle AG;Phytotherapeutika;D;D;31.08.35;31.08.35;19.12.20
10390;1;Lapidar 8, Tabletten;Kräuterpfarrer Künzle AG;Phytotherapeutika;D;D;31.08.35;31.08.35;29.01.21
10392;1;Lapidar 10, Tabletten;Kräuterpfarrer Künzle AG;Phytotherapeutika;D;D;31.08.35;31.08.35;29.06.16
10393;2;Lapidar 11, Tabletten;Kräuterpfarrer Künzle AG;Synthetika human;D;D;31.08.35;13.10.93;27.07.21
10445;1;Flügge Kieselerde, Pulver;Schellenberg, Reformprodukte;Synthetika human;E;E;26.12.40;26.12.40;25.08.19
10523;1;Zeller Balsam, flüssig;Max Zeller Söhne AG;Phytotherapeutika;D;D;03.10.35;03.10.35;06.10.20
10567;1;Midro Tee, geschnittene Drogen;Midro AG;Phytotherapeutika;B/D;B/D;25.11.35;25.11.35;22.06.16
10574;1;Magnesia San Pellegrino, poudre sans arôme;Actipharm SA;Synthetika human;D;D;31.10.35;31.10.35;10.04.21
10700;1;Pyralvex, Lösung;MEDA Pharma GmbH;Synthetika human;D;D;23.04.41;23.04.41;14.11.17
10714;2;Otalgan, solution;Vifor Consumer Health SA;Synthetika human;C;C;15.05.41;11.03.98;06.10.20
10751;4;Ichtholan 10% Zugsalbe, Salbe;Medinova AG;Synthetika human;D;D;18.06.41;07.08.95;16.12.18
10751;5;Ichtholan 20% Zugsalbe, Salbe;Medinova AG;Synthetika human;D;D;18.06.41;07.08.95;16.12.18
10751;6;Ichtholan 50% Zugsalbe, Salbe;Medinova AG;Synthetika human;D;D;18.06.41;07.08.95;16.12.18
10786;1;Bilifuge, Tropfen;Medicoss AG;Phytotherapeutika;D;D;29.07.41;29.07.41;18.10.19
10787;1;Sanogencive Plan, Flüssigkeit;Steinberg Pharma AG;Synthetika human;D;D;29.07.41;29.07.41;09.11.18
10811;1;Künzle Nieren-Blasentee, geschnittene Drogen;Kräuterpfarrer Künzle AG;Phytotherapeutika;D;D;27.11.41;27.11.41;17.12.16
10823;2;Dermophil Indien, Balsam-Stift;Melisana AG;Synthetika human;D;D;13.09.33;11.11.99;11.12.18
10989;1;Benerva, soluzione iniettabile;FARMACEUTICA TEOFARMA SUISSE SA;Synthetika human;B;B;14.07.54;14.07.54;07.10.19
10999;1;Osanit Zahnen, homöopathische Globuli;Iromedica AG;Homöopathika;D;D;05.09.35;05.09.35;06.11.16
11066;2;Fortalis Baume/Balsam, Salbe;Interdelta S.A.;Synthetika human;D;D;06.07.42;14.08.13;19.12.19
11275;1;Malvéol, émulsion;Laboratoires Magistra SA;Synthetika human;D;D;30.09.42;30.09.42;11.11.17
11565;1;Leucen, Zugsalbe;Tentan AG;Synthetika human;D;D;22.07.43;22.07.43;31.12.17
11745;1;Rausch Perupomade, Salbe;Rausch AG Kreuzlingen;Phytotherapeutika;D;D;23.03.50;23.03.50;03.06.20
11787;2;Weleda Amara Tropfen, anthroposophisches Arzneimittel;Weleda AG;Anthroposophika;D;D;28.12.43;21.03.06;28.06.20
11833;1;Kernosan Heidelberger Kräuterpulver;E. Kern AG, pharmazeutische Kräuterspezialitäten;Phytotherapeutika;D;D;30.03.44;30.03.44;30.09.18
11848;1;Geli Stop, Tabletten;Tentan AG;Synthetika human;D;D;22.04.44;22.04.44;19.04.19
11879;2;Calcium D Sauter, dragées;Labatec Pharma SA;Synthetika human;D;D;25.04.44;07.12.06;21.08.18
11909;2;Bepanthen, Injektionslösung;Bayer (Schweiz) AG;Synthetika human;B;B;27.03.44;23.12.11;19.11.17
12133;1;Cardiophyt A, Tropfen;Lyron AG;Phytotherapeutika;D;D;12.12.53;12.12.53;02.12.18
12136;1;Neurophyt, Dragées;Lyron AG;Phytotherapeutika;D;D;12.12.53;12.12.53;15.12.18
12175;1;Aphenylbarbit 50 mg, Tabletten;Streuli Pharma AG;Synthetika human;B;B;06.11.44;26.05.75;28.11.17
12175;2;Aphenylbarbit 100 mg, Tabletten;Streuli Pharma AG;Synthetika human;B;B;06.11.44;20.07.45;28.11.17
12175;5;Aphenylbarbit 15 mg, Tabletten;Streuli Pharma AG;Synthetika human;B;B;06.11.44;06.11.44;28.11.17
12337;3;Decalcit, Kautabletten;Geistlich Pharma AG;Synthetika human;D;D;15.10.45;11.12.15;15.05.17
12358;1;Ossopan 200, Dragées;Pierre Fabre Pharma SA;Synthetika human;C;C;13.06.45;13.06.45;24.08.18
12537;2;Kamillosan, Liquidum;MEDA Pharma GmbH;Phytotherapeutika;D;D;20.11.45;20.02.01;29.03.21
12548;1;Dul-X Classic, Emulsion;Melisana AG;Phytotherapeutika;D;D;30.11.45;30.11.45;14.07.20
12549;1;Dul-X Classic, Crème;Melisana AG;Phytotherapeutika;D;D;28.02.46;28.02.46;14.07.20
12566;4;Stago Nouvelle formule, solution;F. UHLMANN-EYRAUD SA;Phytotherapeutika;D;D;07.10.47;13.04.10;24.10.17
12570;1;Blasosan, homöopathische Kügelchen;Tentan AG;Homöopathika;D;D;11.03.46;11.03.46;25.05.19
12730;1;Methergin, Injektionslösung s.c., i.m., i.v.;Novartis Pharma Schweiz AG;Synthetika human;B;B;18.01.46;18.01.46;20.11.18
12803;1;NeoCitran Hustenlöser, Sirup (neue Formel);NOVARTIS CONSUMER HEALTH SCHWEIZ AG;Synthetika human;D;D;20.03.46;20.03.46;23.05.20
12805;1;NeoCitran Hustenlöser, Tropfen (neue Formel);NOVARTIS CONSUMER HEALTH SCHWEIZ AG;Synthetika human;D;D;30.03.46;30.03.46;23.05.20
12806;1;Resyl plus, Tropfen;NOVARTIS CONSUMER HEALTH SCHWEIZ AG;Synthetika human;C;C;22.02.46;22.02.46;04.11.19
12874;2;Pectocalmine N, sirop;Vifor Consumer Health SA;Synthetika human;C;C;25.03.49;23.12.08;31.12.17
12917;1;Ossopan Pulvis, Granulat;Pierre Fabre Pharma SA;Synthetika human;C;C;30.09.46;30.09.46;24.08.18
12990;1;Stomacine, Lösung;Steinberg Pharma AG;Synthetika human;D;D;11.11.46;11.11.46;14.11.17
13077;1;Kernosan 24, Kräuter-Leber-Gallentabletten;E. Kern AG, pharmazeutische Kräuterspezialitäten;Phytotherapeutika;D;D;21.12.48;21.12.48;26.11.16
13083;1;Pursennid, Dragées;NOVARTIS CONSUMER HEALTH SCHWEIZ AG;Phytotherapeutika;D;D;19.08.46;19.08.46;12.07.20
13188;1;Unguentolan, Salbe;Gebro Pharma AG;Synthetika human;D;D;09.12.48;09.12.48;18.02.19
13193;1;Eurax, Crème;NOVARTIS CONSUMER HEALTH SCHWEIZ AG;Synthetika human;C;C;14.11.46;14.11.46;14.05.17
13289;1;Dihydergot, Injektionslösung s.c., i.m.;Pro Farma AG;Synthetika human;B;B;10.12.46;10.12.46;13.08.17
13308;1;Bepanthen, Lösung;Bayer (Schweiz) AG;Synthetika human;D;D;13.02.47;13.02.47;31.12.17
13335;1;Euceta, Gel;NOVARTIS CONSUMER HEALTH SCHWEIZ AG;Synthetika human;D;D;08.03.47;08.03.47;12.01.19
